0,1,2,3,4,5,6,7,8,9,temperature,category
92.0,111.0,89.0,77.0,108.0,83.0,75.0,96.0,78.0,48.84669896727925,21.8,2
99.0,107.0,83.0,73.0,90.0,75.0,73.0,90.0,79.0,48.84669896727925,21.9,2
99.0,107.0,83.0,72.0,90.0,75.0,73.0,90.0,78.0,49.76946855251722,22.0,2
99.0,107.0,83.0,72.0,90.0,75.0,73.0,90.0,78.0,49.76946855251722,22.1,2
99.0,107.0,83.0,72.0,90.0,75.0,73.0,90.0,78.0,49.76946855251722,22.2,2
99.0,107.0,83.0,72.0,90.0,75.0,73.0,90.0,78.0,49.76946855251722,22.3,2
99.0,107.0,83.0,72.0,90.0,75.0,73.0,90.0,78.0,49.76946855251722,22.4,2
99.0,107.0,83.0,72.0,90.0,75.0,73.0,90.0,78.0,49.76946855251722,22.5,2
99.0,107.0,83.0,72.0,90.0,75.0,73.0,90.0,78.0,49.76946855251722,22.6,2
99.0,107.0,83.0,72.0,90.0,75.0,73.0,90.0,78.0,49.76946855251722,22.7,2
99.0,107.0,83.0,72.0,90.0,75.0,73.0,90.0,78.0,49.76946855251722,22.8,2
99.0,107.0,83.0,72.0,90.0,75.0,74.0,90.0,78.0,49.76946855251722,22.9,2
99.0,107.0,83.0,72.0,90.0,74.0,74.0,90.0,78.0,49.76946855251722,23.0,2
99.0,107.0,83.0,72.0,90.0,74.0,74.0,90.0,78.0,49.76946855251722,23.1,2
99.0,107.0,83.0,72.0,89.0,74.0,74.0,90.0,78.0,49.76946855251722,23.2,2
99.0,107.0,83.0,72.0,89.0,74.0,74.0,90.0,78.0,49.76946855251722,23.3,2
99.0,107.0,83.0,72.0,89.0,74.0,74.0,90.0,78.0,49.76946855251722,23.4,2
99.0,107.0,83.0,72.0,89.0,74.0,74.0,91.0,78.0,49.76946855251722,23.5,2
100.0,107.0,83.0,72.0,89.0,74.0,74.0,91.0,77.0,49.76946855251722,23.6,2
100.0,107.0,83.0,72.0,89.0,74.0,74.0,91.0,77.0,49.76946855251722,23.7,2
